layout,configuration,agent,depth,simulations,rollout_depth,games,average_score,median_score,std_score,min_score,max_score,wins,win_rate,total_time,average_time,status,error
minimaxClassic,Expectimax_d3,ExpectimaxAgent,3,,,50,148.08,507.0,487.9278484633998,-498.0,514.0,32,64.0,4.490935325622559,0.08981870651245118,OK,
minimaxClassic,MCTS_s10_r4,MCTSAgent,,10,4,50,70.46,512.0,506.57792317164586,-514.0,516.0,28,56.0,4.653282165527344,0.09306564331054687,OK,
minimaxClassic,MCTS_s10_r6,MCTSAgent,,10,6,50,152.14,514.0,489.27397316465397,-497.0,516.0,32,64.0,5.258899211883545,0.1051779842376709,OK,
minimaxClassic,MCTS_s10_r8,MCTSAgent,,10,8,50,273.3,516.0,434.99825240089956,-496.0,516.0,38,76.0,4.567798852920532,0.09135597705841064,OK,
minimaxClassic,MCTS_s20_r4,MCTSAgent,,20,4,50,130.94,514.0,495.6431982787618,-504.0,516.0,31,62.0,4.981358051300049,0.09962716102600097,OK,
minimaxClassic,MCTS_s20_r6,MCTSAgent,,20,6,50,414.28,516.0,305.56739060979925,-494.0,516.0,45,90.0,4.880578994750977,0.09761157989501953,OK,
minimaxClassic,MCTS_s20_r8,MCTSAgent,,20,8,50,191.7,515.5,476.5971751352905,-504.0,516.0,34,68.0,5.189289569854736,0.10378579139709472,OK,
minimaxClassic,MCTS_s40_r4,MCTSAgent,,40,4,50,252.54,516.0,447.69715574851057,-498.0,516.0,37,74.0,5.133027791976929,0.10266055583953858,OK,
minimaxClassic,MCTS_s40_r6,MCTSAgent,,40,6,50,333.72,516.0,391.9024264236376,-499.0,516.0,41,82.0,5.135871171951294,0.10271742343902587,OK,
minimaxClassic,MCTS_s40_r8,MCTSAgent,,40,8,50,333.78,516.0,391.56229676118966,-496.0,516.0,41,82.0,5.2744293212890625,0.10548858642578125,OK,
minimaxClassic,Hybrid_s10_r4,HybridMCTSAgent,,10,4,50,77.38,511.0,523.03404072307,-1022.0,516.0,29,58.0,4.967875003814697,0.09935750007629394,OK,
minimaxClassic,Hybrid_s10_r6,HybridMCTSAgent,,10,6,50,88.26,509.0,504.2596031281296,-518.0,516.0,29,58.0,4.9360105991363525,0.09872021198272705,OK,
minimaxClassic,Hybrid_s10_r8,HybridMCTSAgent,,10,8,50,119.66,510.0,512.7317240198099,-1006.0,516.0,31,62.0,4.591472864151001,0.09182945728302001,OK,
minimaxClassic,Hybrid_s20_r4,HybridMCTSAgent,,20,4,50,-12.88,-493.0,510.24070510187363,-514.0,516.0,24,48.0,4.974800109863281,0.09949600219726562,OK,
minimaxClassic,Hybrid_s20_r6,HybridMCTSAgent,,20,6,50,129.0,511.0,497.1231933713766,-516.0,516.0,31,62.0,4.865332841873169,0.09730665683746338,OK,
minimaxClassic,Hybrid_s20_r8,HybridMCTSAgent,,20,8,50,-13.48,-493.0,511.2157274575969,-528.0,516.0,24,48.0,4.871190547943115,0.09742381095886231,OK,
minimaxClassic,Hybrid_s40_r4,HybridMCTSAgent,,40,4,50,127.88,511.0,496.83659039066396,-528.0,516.0,31,62.0,5.727665185928345,0.1145533037185669,OK,
minimaxClassic,Hybrid_s40_r6,HybridMCTSAgent,,40,6,50,-33.56,-493.0,511.2773184158775,-530.0,516.0,23,46.0,5.97490119934082,0.1194980239868164,OK,
minimaxClassic,Hybrid_s40_r8,HybridMCTSAgent,,40,8,50,88.36,508.0,503.44372281399666,-518.0,516.0,29,58.0,6.0395348072052,0.12079069614410401,OK,
capsuleClassic,Minimax_d1,MinimaxAgent,1,,,50,-313.94,-363.0,213.7479356625462,-796.0,156.0,0,0.0,8.424753189086914,0.16849506378173829,OK,
capsuleClassic,Minimax_d2,MinimaxAgent,2,,,50,-270.76,-290.0,220.14443867050338,-541.0,525.0,0,0.0,8.92936372756958,0.1785872745513916,OK,
capsuleClassic,Minimax_d3,MinimaxAgent,3,,,50,-293.46,-419.0,186.99200135681892,-493.0,169.0,0,0.0,15.75925898551941,0.3151851797103882,OK,
capsuleClassic,AlphaBeta_d1,AlphaBetaAgent,1,,,50,-375.88,-388.0,188.87396078132235,-661.0,47.0,0,0.0,5.523002624511719,0.11046005249023437,OK,
capsuleClassic,AlphaBeta_d2,AlphaBetaAgent,2,,,50,-313.18,-357.0,213.69410619015247,-742.0,352.0,0,0.0,7.58809494972229,0.1517618989944458,OK,
capsuleClassic,AlphaBeta_d3,AlphaBetaAgent,3,,,50,-109.64,-161.0,380.9211049066005,-477.0,1200.0,2,4.0,16.345470190048218,0.32690940380096434,OK,
capsuleClassic,Expectimax_d1,ExpectimaxAgent,1,,,50,-309.5,-325.0,180.75287560870595,-610.0,314.0,0,0.0,5.37115216255188,0.1074230432510376,OK,
capsuleClassic,Expectimax_d2,ExpectimaxAgent,2,,,50,-283.98,-307.0,182.94757696774053,-617.0,118.0,0,0.0,6.968058109283447,0.13936116218566894,OK,
capsuleClassic,Expectimax_d3,ExpectimaxAgent,3,,,50,-125.1,-213.5,314.64740551277134,-568.0,1384.0,1,2.0,25.495140552520752,0.509902811050415,OK,
capsuleClassic,MCTS_s10_r4,MCTSAgent,,10,4,50,3.52,-91.0,472.9803999908561,-559.0,1298.0,6,12.0,20.911178588867188,0.41822357177734376,OK,
capsuleClassic,MCTS_s10_r6,MCTSAgent,,10,6,50,21.26,-112.5,472.82169957800875,-530.0,1518.0,5,10.0,26.90404200553894,0.5380808401107788,OK,
capsuleClassic,MCTS_s10_r8,MCTSAgent,,10,8,50,-139.84,-137.5,291.3808336251402,-537.0,1338.0,1,2.0,29.41070055961609,0.5882140111923218,OK,
capsuleClassic,MCTS_s20_r4,MCTSAgent,,20,4,50,70.16,-113.5,540.7308870823804,-653.0,1414.0,10,20.0,37.862409353256226,0.7572481870651245,OK,
capsuleClassic,MCTS_s20_r6,MCTSAgent,,20,6,50,-29.38,-104.0,322.4937835186335,-515.0,974.0,2,4.0,48.2935848236084,0.965871696472168,OK,
capsuleClassic,MCTS_s20_r8,MCTSAgent,,20,8,50,-18.3,-114.0,434.3913992646517,-521.0,1812.0,3,6.0,61.763832569122314,1.2352766513824462,OK,
capsuleClassic,MCTS_s40_r4,MCTSAgent,,40,4,50,9.34,-104.0,517.4861768833117,-802.0,1430.0,6,12.0,74.4641923904419,1.489283847808838,OK,
capsuleClassic,MCTS_s40_r6,MCTSAgent,,40,6,50,-22.44,-114.5,401.11361106249166,-542.0,1334.0,4,8.0,94.87123131752014,1.8974246263504029,OK,
capsuleClassic,MCTS_s40_r8,MCTSAgent,,40,8,50,-77.62,-130.0,336.26349544270624,-521.0,1184.0,2,4.0,111.17958521842957,2.2235917043685913,OK,
capsuleClassic,Hybrid_s10_r4,HybridMCTSAgent,,10,4,50,28.48,-92.0,488.7534431216473,-523.0,1566.0,4,8.0,21.360388040542603,0.42720776081085204,OK,
capsuleClassic,Hybrid_s10_r6,HybridMCTSAgent,,10,6,50,115.06,-35.5,607.7890480576098,-630.0,1572.0,8,16.0,31.110848665237427,0.6222169733047486,OK,
capsuleClassic,Hybrid_s10_r8,HybridMCTSAgent,,10,8,50,-20.86,-130.0,478.1097991047663,-634.0,1856.0,4,8.0,37.73901319503784,0.7547802639007568,OK,
capsuleClassic,Hybrid_s20_r4,HybridMCTSAgent,,20,4,50,101.6,-22.0,530.0605664276798,-536.0,1588.0,5,10.0,35.751622676849365,0.7150324535369873,OK,
capsuleClassic,Hybrid_s20_r6,HybridMCTSAgent,,20,6,50,54.5,-103.0,418.8455099729372,-446.0,1364.0,4,8.0,52.363306283950806,1.0472661256790161,OK,
capsuleClassic,Hybrid_s20_r8,HybridMCTSAgent,,20,8,50,64.56,-88.5,528.651042652863,-524.0,1626.0,6,12.0,65.6988627910614,1.313977255821228,OK,
capsuleClassic,Hybrid_s40_r4,HybridMCTSAgent,,40,4,50,1.94,-135.0,541.1318602744451,-535.0,1636.0,5,10.0,72.69295811653137,1.4538591623306274,OK,
capsuleClassic,Hybrid_s40_r6,HybridMCTSAgent,,40,6,50,-4.22,-96.5,348.4840224135836,-665.0,1226.0,1,2.0,97.5690860748291,1.951381721496582,OK,
capsuleClassic,Hybrid_s40_r8,HybridMCTSAgent,,40,8,50,3.3,-92.5,403.415279526076,-553.0,1618.0,3,6.0,101.64642429351807,2.0329284858703613,OK,
